SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS,GP_PG,MIN_PG,FGA_PG,FTA_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FG_PCT_PG,FG3_PCT_PG,TEAM_ABBREVIATION,GP,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,USG_PCT,STOCKS_100
2021,Epiphanny Prince,202259,105.9,99.5,6.3,108.5,103.8,4.7,1.6,794.3,807.7,1792.3,1782.7,1602.0,29,14.3,4.6,1.0,5.8,1.6,1.7,0.7,0.2,0.9,43.9,50.0,SEA,29,20.0,5.6,1.2,4.4,5.9,2.4,0.8,3.0,21.7,3.2
2021,Sue Bird,100720,108.9,103.2,5.7,105.5,101.3,4.3,1.5,1663.6,1655.2,923.0,935.2,3318.8,30,27.7,8.2,0.8,10.0,2.6,5.3,0.9,0.1,1.6,43.1,41.9,SEA,30,17.9,4.6,0.5,4.1,9.6,1.7,0.2,2.8,18.3,1.9
2021,Aerial Powers,1627672,106.6,100.4,6.2,106.4,101.5,4.9,1.3,680.2,680.3,1874.3,1889.9,1360.6,14,22.1,10.2,4.3,13.4,3.6,2.1,0.4,0.4,2.9,42.7,31.4,MIN,14,29.0,7.9,2.0,5.9,4.5,0.8,0.8,6.3,30.9,1.6
2021,DiDi Richards,1630459,97.8,105.5,-7.7,100.5,109.4,-8.9,1.2,687.2,691.2,1908.0,1902.2,1378.4,31,11.2,2.1,0.3,2.3,1.1,0.8,0.5,0.2,0.5,42.2,45.5,NYL,31,9.8,4.8,1.3,3.5,3.5,2.4,0.8,2.2,12.3,3.2
2021,Monique Billings,1628881,101.0,108.6,-7.6,102.0,110.7,-8.7,1.1,1416.3,1411.7,1059.3,1045.7,2828.0,31,23.9,6.5,2.5,8.1,6.5,1.0,1.2,1.0,1.4,49.5,0.0,ATL,31,16.7,13.3,5.8,7.4,2.1,2.5,2.1,2.9,19.7,4.6
2021,Sylvia Fowles,201480,105.8,100.3,5.5,108.2,103.6,4.6,0.9,1862.0,1875.2,692.5,695.0,3737.2,31,30.1,10.5,3.4,16.0,10.1,1.4,1.8,1.8,2.3,64.0,0.0,MIN,31,26.4,16.6,3.5,13.1,2.3,3.0,3.0,3.8,23.8,6.0
2021,Sophie Cunningham,1629482,108.2,105.9,2.3,107.5,106.1,1.4,0.9,1234.0,1225.9,2045.4,2042.1,2459.9,30,17.5,4.5,0.9,5.6,2.0,1.1,0.5,0.2,0.5,43.7,41.0,PHO,30,16.4,5.8,0.9,5.0,3.1,1.4,0.7,1.6,13.1,2.0999999999999996
2021,Moriah Jefferson,1627669,103.9,106.3,-2.4,105.9,109.1,-3.2,0.8,980.0,980.4,1543.7,1509.0,1960.3,29,17.2,5.1,0.2,5.4,2.0,2.5,0.8,0.2,1.4,44.9,46.0,DAL,29,16.0,5.9,1.2,4.6,7.3,2.4,0.5,4.0,19.5,2.9
2021,Diana Taurasi,100940,109.6,107.6,2.0,106.2,104.7,1.5,0.5,1477.6,1469.1,1801.8,1798.9,2946.7,16,28.4,12.0,4.5,15.2,4.4,4.9,0.2,0.6,2.9,36.5,33.9,PHO,16,26.0,7.6,0.3,7.3,8.5,0.3,1.0,5.0,18.3,1.3
2021,Tina Charles,202250,103.5,108.3,-4.8,102.7,107.9,-5.1,0.4,1739.7,1740.3,724.2,726.8,3480.0,27,33.3,19.6,4.7,23.4,9.6,2.1,0.9,0.9,2.2,44.9,36.5,WAS,27,34.8,14.2,4.0,10.2,3.1,1.4,1.3,3.3,37.0,2.7
